iter	Passed	Remaining
1287	150976	83458
1288	151101	83346
1289	151233	83237
1290	151344	83116
1291	151453	82994
1292	151559	82871
1293	151671	82751
1294	151780	82629
1295	151880	82502
1296	151998	82386
1297	152131	82277
1298	152244	82158
1299	152353	82036
1300	152468	81917
1301	152593	81804
1302	152712	81688
1303	152818	81565
1304	152932	81446
1305	153051	81330
1306	153173	81215
1307	153284	81095
1308	153415	80985
1309	153527	80865
1310	153642	80747
1311	153742	80621
1312	153854	80501
1313	153971	80384
1314	154076	80260
1315	154179	80135
1316	154291	80015
1317	154392	79890
1318	154486	79761
1319	154593	79639
1320	154708	79520
1321	154825	79403
1322	154957	79294
1323	155076	79177
1324	155230	79079
1325	155329	78953
1326	155440	78833
1327	155554	78714
1328	155679	78600
1329	155810	78490
1330	155924	78372
1331	156058	78263
1332	156184	78151
1333	156279	78022
1334	156411	77912
1335	156516	77789
1336	156647	77679
1337	156756	77557
1338	156867	77437
1339	156981	77319
1340	157084	77195
1341	157202	77078
1342	157291	76947
1343	157397	76824
1344	157493	76697
1345	157605	76578
1346	157703	76451
1347	157810	76329
1348	157933	76215
1349	158059	76102
1350	158171	75983
1351	158278	75861
1352	158388	75740
1353	158506	75623
1354	158621	75506
1355	158736	75387
1356	158850	75269
1357	158959	75148
1358	159089	75037
1359	159181	74908
1360	159287	74786
1361	159403	74669
1362	159516	74550
1363	159625	74429
1364	159720	74302
1365	159833	74183
1366	159955	74068
1367	160082	73956
1368	160193	73836
1369	160317	73722
1370	160429	73603
1371	160552	73488
1372	160670	73372
1373	160770	73247
1374	160870	73122
1375	160980	73002
1376	161094	72884
1377	161206	72765
1378	161297	72636
1379	161403	72514
1380	161513	72394
1381	161613	72269
1382	161731	72153
1383	161857	72040
1384	161990	71930
1385	162114	71817
1386	162223	71696
1387	162328	71574
1388	162458	71463
1389	162594	71354
1390	162716	71239
1391	162827	71120
1392	162950	71005
1393	163114	70909
1394	163237	70794
1395	163340	70671
1396	163460	70555
1397	163582	70441
